TEXTURE_ID,TEXTURERECT_TOP,TEXTURERECT_LEFT,TEXTURERECT_WIDTH,TEXTURERECT_HEIGHT,NAME,XPOSITION,YPOSITION,WIDTH,HEIGHT,LAYER,ORDER,ROTATION,,,,
-104,-104.32309,884,571.750244,,,,,,,,,,,,,
graphics/background/basement.png,0,234,52,52,basement,676,-104.32309,52,52,0,0,90,0,52,1,1
graphics/background/basement.png,156,0,52,52,basement,676,363.427185,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,0,0,52,52,basement,-104,-104.32309,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,0,52,52,basement,-104,363.427185,52,52,0,0,270,52,0,1,1
graphics/background/basement.png,0,104,52,52,basement,0,-104.32309,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,104,52,52,basement,676,-0.497528,52,52,0,0,90,0,52,1,1
graphics/background/basement.png,0,104,52,52,basement,572,363.427185,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,0,104,52,52,basement,207.999939,363.427185,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,0,104,52,52,basement,104,363.427185,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,0,104,52,52,basement,-104,155.776001,52,52,0,0,270,52,0,1,1
graphics/background/basement.png,0,104,52,52,basement,-104,-0.497528,52,52,0,0,270,52,0,1,1
graphics/background/basement.png,156,156,52,52,basement,676,259.601624,52,52,0,0,90,0,52,1,1
graphics/background/basement.png,156,156,52,52,basement,0,363.427185,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,0,286,52,52,basement,676,103.328064,52,52,0,0,90,0,52,1,1
graphics/background/basement.png,104,234,52,52,basement,-104,259.601624,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,156,52,52,basement,572,-104.32309,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,156,52,52,basement,364,-104.32309,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,156,52,52,basement,468,363.427185,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,0,156,52,52,basement,676,155.776001,52,52,0,0,450,0,52,1,1
graphics/background/basement.png,0,208,26,52,basement,312,-104.32309,26,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,208,26,52,basement,312,363.427185,26,52,0,0,180,26,52,1,1
graphics/background/basement.png,52,52,52,52,basement,0,-0.497528,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,52,52,52,52,basement,572,-0.497528,52,52,0,0,90,0,52,1,1
graphics/background/basement.png,208,52,52,52,basement,572,259.601624,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,104,156,52,52,basement,104,103.328064,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,156,52,52,basement,468,103.328064,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,208,390,52,52,basement,364,-0.497528,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,208,390,52,52,basement,364,259.601624,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,208,390,52,52,basement,0,103.328064,52,52,0,0,270,52,0,1,1
graphics/background/basement.png,104,52,52,52,basement,0,155.776001,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,52,52,52,basement,468,-0.497528,52,52,0,0,90,0,52,1,1
graphics/background/basement.png,104,52,52,52,basement,572,103.328064,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,52,338,52,52,basement,207.999939,-0.497528,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,52,338,52,52,basement,207.999939,259.601624,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,208,442,26,52,basement,312,259.601624,26,52,0,0,180,26,52,1,1
graphics/background/basement.png,208,442,26,52,basement,312,-0.497528,26,52,0,0,360,0,0,1,1
graphics/background/basement.png,104,390,52,52,basement,364,155.776001,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,390,52,52,basement,207.999939,103.328064,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,390,52,52,basement,104,155.776001,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,390,52,52,basement,468,155.776001,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,442,26,52,basement,312,103.328064,26,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,442,26,52,basement,312,155.776001,26,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,156,52,52,basement,104,-104.32309,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,156,52,52,basement,468,-104.32309,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,0,156,52,52,basement,364,363.427185,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,104,0,52,52,basement,-104,103.328064,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,104,52,52,52,basement,104,-0.497528,52,52,0,0,90,0,52,1,1
graphics/background/basement.png,104,52,52,52,basement,468,259.601624,52,52,0,0,270,52,0,1,1
graphics/background/basement.png,260,390,52,52,basement,207.999939,155.776001,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,260,390,52,52,basement,364,103.328064,52,52,0,0,0,0,0,1,1
graphics/background/basement.png,260,286,52,52,basement,572,155.776001,52,52,0,0,180,52,52,1,1
graphics/background/basement.png,0,338,52,52,basement,207.999939,-104.32309,52,52,0,0,0,0,0,1,1
graphics/additionals/levelitem_001_itemaltar.png,5,2,27,23,levelitem_001_itemaltar,312,155.693542,27,23,1,-5,0,0,0,1,1
graphics/obstacles/grid_fireplace.png,0,32,32,32,grid_fireplace,207.999939,155.693542,32,32,1,-5,0,0,0,1,1
graphics/obstacles/grid_fireplace.png,0,32,32,32,grid_fireplace,416,155.693542,32,32,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,0,-0.232056,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,156,-0.232056,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,104,51.424255,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,104,-0.232056,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,52,51.424255,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,52,-0.232056,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,0,51.424255,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,rocks_basement,156,51.424255,25,27,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,1,66,27,31,rocks_basement,468,-0.232056,27,31,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,1,66,27,31,rocks_basement,468,51.424255,27,31,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,1,66,27,31,rocks_basement,520,-0.232056,27,31,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,1,66,27,31,rocks_basement,572,-0.232056,27,31,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,1,66,27,31,rocks_basement,624,-0.232056,27,31,1,-5,0,0,0,1,1
graphics/obstacles/rocks/rocks_basement.png,1,66,27,31,rocks_basement,572,51.424255,27,31,1,-5,0,0,0,1,1
