FILENAME,LEFT,TOP,WIDTH,HEIGHT
graphics/background/depths.png,0,0,52,52
graphics/background/depths.png,52,0,52,52
graphics/background/depths.png,104,0,52,52
graphics/background/depths.png,156,0,52,52
graphics/background/depths.png,0,52,52,52
graphics/background/depths.png,52,52,52,52
graphics/background/depths.png,104,52,52,52
graphics/background/depths.png,156,52,52,52
graphics/background/depths.png,0,104,52,52
graphics/background/depths.png,52,104,52,52
graphics/background/depths.png,104,104,52,52
graphics/background/depths.png,156,104,52,52
graphics/background/depths.png,52,364,52,52
graphics/background/depths.png,52,416,52,52
graphics/background/depths.png,104,364,52,52
graphics/background/depths.png,104,416,52,52
graphics/background/depths.png,156,364,52,52
graphics/background/depths.png,156,416,52,52
