TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
Isaac_run_height,10,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,HEIGHT,WIDTH,ORIGIN_X,ORIGIN_Y
graphics/character_001_isaac.png,192,0,32,32,16.000000,32.000000
graphics/character_001_isaac.png,224,0,32,32,16.000000,32.000000
graphics/character_001_isaac.png,0,32,32,32,16.000000,32.000000
graphics/character_001_isaac.png,32,32,32,32,16.000000,32.000000
graphics/character_001_isaac.png,64,32,32,32,16.000000,32.000000
graphics/character_001_isaac.png,96,32,32,32,16.000000,32.000000
graphics/character_001_isaac.png,128,32,32,32,16.000000,32.000000
graphics/character_001_isaac.png,160,32,32,32,16.000000,32.000000
graphics/character_001_isaac.png,192,32,32,32,16.000000,32.000000
graphics/character_001_isaac.png,224,32,32,32,16.000000,32.000000
