TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
,30,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,WIDHT,HEIGHT,ORIGIN_X,ORIGIN_Y
graphics/enemies/monster_001_pooter.png,66,0,28,29,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,96,0,32,29,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,0,31,30,28,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,34,30,29,32,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,65,30,31,31,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,98,30,28,28,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,0,58,31,35,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,34,61,29,33,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,65,62,31,31,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,98,62,29,30,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,1,97,28,29,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,31,96,32,30,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,65,96,30,31,14.000000,14.000000
graphics/enemies/monster_001_pooter.png,97,96,30,30,14.000000,14.000000
