TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
Explosion,15,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,HEIGHT,WIDTH,ORIGIN_X,ORIGIN_Y
graphics/effects/effect_029_explosion.png,0,0,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,96,0,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,192,0,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,288,0,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,0,96,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,96,96,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,192,96,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,288,96,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,0,192,96,96,0.000000,0.000000
graphics/effects/effect_029_explosion.png,96,192,96,96,0.000000,0.000000
