TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
Isaac_run_weight,10,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,HEIGHT,WIDTH,ORIGIN_X,ORIGIN_Y
graphics/character_001_isaac.png,0,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,32,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,64,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,96,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,128,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,160,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,192,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,224,64,32,32,16.000000,32.000000
graphics/character_001_isaac.png,0,96,32,32,16.000000,32.000000
graphics/character_001_isaac.png,32,96,32,32,16.000000,32.000000
